"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"KS","Kansas City Kansas Community College","Community College District",31397092,510000,3440376,14290000,0,0,0
"PA","Sports & Exhibition Authority of Pittsburgh and Allegheny County","Special District",680236808,593868467,0,0,266672,0,0
"AZ","Glendale Union High School District No. 205","School District",289413178,107817629,6263641,9638560,2026000,120013631,26111383
"AZ","Pendergast Elementary School District No. 92","School District",136332339,54266072,1575107,5796535,2364000,56863037,0
"IA","Kirkwood Community College","Community College District",260493769,87818290,2391382,0,0,14857531,17655702
"AZ","Queen Creek Unified School District No. 95","School District",238912982,146885965,1727032,28462393,0,51790501,0
"AZ","Fountain Hills Unified School District No. 98","School District",19618785,8993753,328659,0,0,9314200,40780
"AZ","Buckeye Union High School District No. 201","School District",119536585,79127777,566440,31774,0,29023751,2571814
"CA","Atwater Elementary School District","School District",76847787,12713058,51513,137267,0,55411258,2866353
"IL","Kaskaskia Community College District 501","Community College District",38402836,21088000,992487,188001,0,0,13488143
"CA","Barstow Unified School District","School District",131246640,40492432,1140685,0,0,67673259,0
"CA","Claremont Unified School District","School District",212789980,83694664,671659,0,0,86249078,22812811
"CA","Bishop Unified School District","School District",38304396,7257848,198914,0,0,23515236,5554492
"CA","Belmont Redwood Shores School District","School District",194654886,129415370,215716,0,0,51418963,3344500
"CA","Berkeley Unified School District","School District",545181343,309375689,2314357,0,0,162953000,35272723
