state,acfrs_original_name,nces_original_name,gov_unit_original_name,name,ncesid,censusid,county_nces,city_nces,student
MI, East Jackson Community Schools ,East Jackson Community Schools,east jackson community schools,east jackson community schools,2612540,23503801300000,Jackson County,JACKSON,887.00000
MI, East Jordan Public Schools ,East Jordan Public Schools,east jordan public schools,east jordan,2612560,23501590100000,Charlevoix County,East Jordan,808.00000
MI, Eau Claire Public Schools ,Eau Claire Public Schools,eau claire sch dist,eau claire,2612810,23501104700000,Berrien County,Eau Claire,767.00000
MI, Ecorse Public Schools ,Ecorse Public Schools,ecorse public schools,ecorse,2612930,23508201500000,Wayne County,ECORSE,1097.00000
MI, Edwardsburg Public Schools ,Edwardsburg Public Schools,edwardsburg public schools,edwardsburg,2612990,23501403200000,Cass County,EDWARDSBURG,2748.00000
MI, Elk Rapids Schools ,Elk Rapids Schools,elk rapids schools,elk rapids schools,2613050,23500500700000,Antrim County,ELK RAPIDS,1265.00000
MI, Elkton Pigeon Bay Port Laker Schools ,Elkton-Pigeon-Bay Port Laker Schools,elkton-pigeon-bay port laker schools,elkton pigeon bay port laker schools,2613090,23503202200000,Huron County,PIGEON,924.00000
MI, Essexville-Hampton Public Schools ,Essexville-Hampton Public Schools,essexville-hampton public schools,essexville hampton,2613530,23500901200000,Bay County,ESSEXVILLE,1695.00000
MI, Evart Public Schools ,Evart Public Schools,evart public schools,evart,2613560,23506700500000,Osceola County,Evart,886.00000
MI, Farmington Public School District ,Farmington Public School District,farmington public school district,farmington,2614070,23506301200000,Oakland County,FARMINGTON,9418.00000
MI, Fennville Public Schools ,Fennville Public Schools,fennville public schools,fennville,2614230,23500307100000,Allegan County,Fennville,1292.00000
MI, Fenton Area Public Schools ,Fenton Area Public Schools,fenton area public schools,fenton area,2614250,23502501400000,Genesee County,FENTON,3450.00000
MI, Ferndale Public Schools ,Ferndale Public Schools,ferndale public schools,ferndale,2614280,23506301400000,Oakland County,FERNDALE,3135.00000
MI, Fitzgerald Public Schools ,Fitzgerald Public Schools,fitzgerald public schools,fitzgerald,2614460,23505002900000,Macomb County,WARREN,2385.00000
MI, Flint City School District ,Flint School District of the City of,flint city sch dist,flint,2614520,23502501500000,Genesee County,FLINT,3748.00000
MI, Flushing Community Schools ,Flushing Community Schools,flushing community schools,flushing community schools,2614550,23502501600000,Genesee County,FLUSHING,4222.00000
MI, Forest Area Community Schools ,Forest Area Community Schools,forest area community schools,forest area community schools,2614570,23502801100000,Kalkaska County,FIFE LAKE,506.00000
MI, Forest Hills Public Schools ,Forest Hills Public Schools,forest hills public schools,forest hills,2614610,23504105200000,Kent County,GRAND RAPIDS,9726.00000
MI, Fowler Public Schools ,Fowler Public Schools,fowler public schools,fowler,2614700,23501904500000,Clinton County,Fowler,466.00000
MI, Frankenmuth School District ,Frankenmuth School District,frankenmuth sch dist,frankenmuth,2614760,23507303500000,Saginaw County,FRANKENMUTH,1364.00000
MI, Fraser Public Schools District ,Fraser Public Schools,fraser public schools,fraser,2614820,23505000900000,Macomb County,FRASER,4851.00000
MI, Freeland Community School District ,Freeland Community School District,freeland comm sch dist,freeland,2615060,23507303600000,Saginaw County,FREELAND,2015.00000
MI, Garden City Public Schools ,Garden City Public Schools,garden city public schools,garden city,2615540,23508202000000,Wayne County,GARDEN CITY,3595.00000
MI, Gibraltar School District ,Gibraltar School District,gibraltar sch dist,gibraltar,2615870,23508202100000,Wayne County,WOODHAVEN,3656.00000
MI, Glenn Public School District ,Glenn Public School District,glenn public school district,glenn,2615510,23500304200000,Allegan County,Glenn,39.00000
MI, Goodrich Area Schools ,Goodrich Area Schools,goodrich area schools,goodrich area schools,2616320,23502502300000,Genesee County,GOODRICH,2029.00000
MI, Grand Haven Area Public Schools ,Grand Haven Area Public Schools,grand haven area public schools,grand haven area,2616380,23507004400000,Ottawa County,GRAND HAVEN,5974.00000
MI, Grand Rapids Public Schools ,Grand Rapids Public Schools,grand rapids public schools,grand rapids,2616440,23504105000000,Kent County,Grand Rapids,14557.00000
MI, Greenville Public Schools ,Greenville Public Schools,greenville public schools,greenville,2617160,23505903100000,Montcalm County,GREENVILLE,3657.00000
MI, Grosse Pointe Public School System ,Grosse Pointe Public Schools,grosse pointe sch dist,grosse pointe,2625740,23508202300000,Wayne County,GROSSE POINTE,7451.00000
MI, Harbor Springs School District ,Harbor Springs School District,harbor springs school district,harbor springs,2617700,23502401700000,Emmet County,HARBOR SPRINGS,779.00000
MI, Harper Creek Community Schools ,Harper Creek Community Schools,harper creek community schools,harper creek community schools,2617730,23501301300000,Calhoun County,BATTLE CREEK,2793.00000
