state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
OK,MIDWEST CITY-DEL CITY,midwest-del city sch dist 52,4019950,37505501800000, Midwest City- Del City School District I-52 
MN,MIDWEST SPECIAL EDUCATION COOP.,midwest spec education coop 398,2700041,24507540100000,NA
PA,Midwestern IU 4,midwestern intermediate school unit 4,4289140,39504360100000,NA
PA,Mifflin County SD,mifflin co school dist,4215290,39504470100000, Mifflin County School District 
PA,Mifflinburg Area SD,mifflinburg area sch dist,4226010,39506001000000, Mifflinburg Area School District 
MN,MILACA PUBLIC SCHOOL DISTRICT,milaca ind sch dist 912,2720670,24504801800000, Milaca Independent School District No. 912 
TN,Milan,milan special school district,4702970,43502760400000, Milan Special School District 
MI,Milan Area Schools,milan area sch dist,2623850,23508101400000, Milan Area Schools 
MO,MILAN C-2,milan sch dist c 2,2920940,26510600400000, Milan C-2 School District 
IN,Milan Community Schools,milan community school corporation,1806630,15506900900000,NA
NH,Milan School District,milan town school dist,3304800,30500490100000,NA
TX,MILANO ISD,milano ind sch dist 903,4830690,44516601100000, Milano Independent School District 
SD,Milbank School District 25-4,milbank school district 25-4,4600002,42502604500000, Milbank School District No. 25-4 
OK,MILBURN,milburn sch dist 29,4019980,37503500700000, Milburn Public School District I-29 
TX,MILDRED ISD,mildred ind sch district 910,4830720,44517501000000, Mildred Independent School District 
MT,Miles City Elem,miles city elem sch dist 1,3018410,27500940130100, Miles City Unified School District Number 1 
TX,MILES ISD,miles ind sch dist 902,4830750,44520000200000, Miles Independent School District 
MA,Milford,milford town schs,2507860,22301402530100,NA
IL,Milford Area PSD 124,milford area public schools district 124,1701416,14503810100000,NA
NJ,Milford Borough School District,milford boro sch dist,3410170,31501002100000,NA
NY,MILFORD CENTRAL SCHOOL DISTRICT,milford central sch dist,3619350,33503902000000,NA
OH,Milford Exempted Village,milford ex vlg sch dist,3904550,36501301100000, Milford Exempted Village School District 
TX,MILFORD ISD,milford ind sch district 909,4830780,44507001100000, Milford Independent School District 
ME,Milford Public Schools,milford school department,2308250,20301004230100,NA
NE,MILFORD PUBLIC SCHOOLS,milford public sch dis 5,3173710,28508000500000,NA
CT,Milford School District,milford public schools,0902520,07200550130100,NA
DE,Milford School District,milford school district,1001080,08500300400000,NA
NH,Milford School District,milford school district,3304830,30500601800000,NA
WA,Mill A School District,mill a school district 31,5305040,48503000400000,NA
OK,MILL CREEK,mill creek sch dist 2,4020040,37503500800000,NA
IN,Mill Creek Community Sch Corp,mill creek community school corporation,1806660,15503270200000,NA
VT,Mill River Unified School District,mill river unified union school district,5000393,46501190400000, Mill River Unified Union School District 
CA,Mill Valley Elementary,mill valley elem sch dist,0624870,05502101200000, Mill Valley School District 
UT,Millard District,millard co sch dist,4900540,45501400100000, Millard School District 
NE,MILLARD PUBLIC SCHOOLS,millard sch dist 17,3173740,28502804000000,NA
