state,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,student
MO,Buchanan County,2020,General Purpose,11549032,0,3549665,0,0,0,4845370,0,811021,0,2342976,5809153,13817854,217731,32568614,4733925,47679427,0,0,0,52413352,10946
DE,Sussex County,2020,General Purpose,195731358,150074075,25295318,0,0,0,1384706,0,10203348,0,8460021,40933291,32607243,17634572,57586001,44427028,104334079,0,0,0,148761107,10942
CA,Sonoma County,2020,General Purpose,1092460000,376079000,107194000,3937000,85071000,256000,187359000,0,216719000,0,35987000,138541000,529243000,7500000,406145000,137213000,944216000,0,0,0,1081429000,10941
SC,Kershaw County,2020,General Purpose,79795952,29295334,6494891,677062,0,0,33572845,0,7692189,0,954391,14519265,340131,1554323,33907364,1513910,48807173,0,0,0,50321083,10928
GA,Bulloch County,2020,General Purpose,27011322,17007562,5973994,1681610,0,376089,0,0,0,0,1272067,12749082,2373696,2416455,59886138,6213733,71211638,0,0,0,77425371,10902
AR,Lonoke County,2020,General Purpose,3059864,0,3059864,68811,0,29520,8542020,0,0,0,0,0,0,0,21899273,3256116,18643157,0,0,0,21899273,10851
GA,Lowndes County,2020,General Purpose,103730852,8296623,9852167,147090,0,694890,22393102,0,59936692,0,1529355,20651626,2326113,4508029,87340234,8867262,105958740,0,0,0,114826002,10848
NY,Dutchess County,2020,General Purpose,982691845,243938009,110609586,0,0,0,126564243,0,461883735,0,10460158,25819329,134543999,23960211,322730088,-53366353,560419980,0,0,0,507053627,10836
GA,Catoosa County,2020,General Purpose,11303255,0,2564768,0,0,850764,0,0,0,0,1085115,6913816,5973564,121497,43995251,1834123,55170005,0,0,0,57004128,10770
NJ,Monmouth County,2020,General Purpose,2519448708,390810000,0,0,0,19500000,435741708,0,473743040,0,0,0,0,0,670942714,33082248,637860466,0,0,0,670942714,10704
TN,Tipton County,2020,General Purpose,1780926,0,0,0,0,0,0,3377926,685015,0,923485,4214907,3948431,3058753,21609394,6250828,26580657,0,0,0,32831485,10681
MI,Ingham County,2020,General Purpose,413273124,91554906,24358827,20901140,0,8900000,190612666,0,66446199,890867,8892262,68062662,68937496,6447388,99250635,15463123,227235058,28923501,3339065,0,242698181,10619
NM,Lea County,2020,General Purpose,54412925,0,3164773,0,0,0,37120253,0,13129405,0,998494,3976086,5883342,1732322,107060993,37574847,81077896,0,0,0,118652743,10613
SC,Oconee County,2020,General Purpose,97448315,14498485,4905376,8960635,0,0,53536319,0,11134969,0,1651761,14022308,3139229,2050616,52808914,2893022,69128045,0,0,0,72021067,10532
