"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"5743","DE","Indian River School District","indian river school  district","1000680","08500300100000","Sussex County","10942.00000",NA
"5744","CA","Indian Springs Elementary","indian springs elem sch dist","0618270","05504501800000","Shasta County","17.00000"," indian springs elementary school district "
"5745","IL","Indian Springs SD 109","indian springs school district 109","1707170","14501601800000","Cook County","2670.00000"," indian springs school district 109 "
"5746","ME","Indian Township","peter dana point indian schools","2300064","20500620200000","Washington County","157.00000",NA
"5747","ME","Indian Township School",NA,"5900042",NA,"Washington County","92.00000",NA
"5748","OH","Indian Valley Local","indian valley local sch dist","3905028","36507900600000","Tuscarawas County","1746.00000"," indian valley local school district "
"5749","IN","Indiana Academy for Sci Math Hmn","indiana academy for sci math hmn","1800041","15618000410000","Delaware County","239.00000",NA
"5750","PA","Indiana Area SD","indiana area sch dist","4212150","39503202400000","Indiana County","2860.00000"," indiana area school district "
"5751","IN","Indiana Department of Correction","indiana department of correction","1800006","15618000060000","Marion County","402.00000",NA
"5752","IN","Indiana School For The Deaf","indiana school for the deaf","1800024","15618000240000","Marion County","315.00000",NA
"5753","IN","Indianapolis Public Schools","indianapolis public schools","1804770","15504900500000","Marion County","25611.00000"," indianapolis public schools "
"5754","OK","INDIANOLA","indianola sch dist 25","4015450","37506103000000","Pittsburg County","274.00000"," indianola school district i-25 "
"5755","IA","Indianola Comm School District","indianola community school district","1914640","16509102000000","Warren County","3663.00000"," indianola community school district "
"5756","TX","INDUSTRIAL ISD","industrial ind sch dist 905","4824150","44512000300000","Jackson County","1177.00000"," industrial independent school district "
"5757","KS","Ingalls","ingalls unified school district 477","2007680","17503500800000","Gray County","237.00000",NA
"5758","TX","INGLESIDE ISD","ingleside ind sch dist 903","4824180","44520500300000","San Patricio County","2137.00000"," ingleside independent school district "
"5759","CA","Inglewood Unified","inglewood uni sch dist","0618390","05501904800000","Los Angeles County","8404.00000"," inglewood unified school district "
"5760","TX","INGRAM ISD","ingram ind sch dist 904","4824210","44513300400000","Kerr County","1166.00000"," ingram independent school district "
"5761","MI","Inland Lakes Schools","inland lakes sch dist","2619170","23501601300000","Cheboygan County","650.00000"," inland lakes schools "
"5762","KS","Inman","inman unified school district 448","2007710","17505701900000","McPherson County","440.00000",NA
"5763","NC","Innovative School District","innovative school district","3700442","34637004420000","Wake County","216.00000",NA
"5764","OK","INOLA","inola sch dist 5","4015480","37506601100000","Rogers County","1261.00000"," inola public school district i-5 "
"5765","NH","Inter-lakes School District","inter lakes coop sch dist","3303960","30500100600000","Belknap County","1013.00000",NA
"5766","PA","Interboro SD","interboro sch dist","4212170","39502301900000","Delaware County","3367.00000"," interboro school district "
"5767","MN","INTERMEDIATE SCHOOL DISTRICT 287","intermediate district 287","2700025","24502740400000","Hennepin County","1100.00000",NA
"5768","MN","INTERMEDIATE SCHOOL DISTRICT 917","intermediate sch dist 917","2700026","24501940100000","Dakota County","865.00000",NA
"5769","PA","Intermediate Unit 1","intermediate school unit 1","4289110","39506360100000","Washington County","299.00000"," intermediate unit 1 "
"5770","MN","INTERNATIONAL FALLS SCHOOL DISTRICT","international falls school district 361","2715000","24503600200000","Koochiching County","973.00000",NA
"5771","IA","Interstate 35 Comm School District","interstate 35 community school district","1914670","16506170100000","Madison County","848.00000"," interstate 35 community school district "
"5772","IL","Intrinsic 2 Charter High School","intrinsic 2 charter high school","1701438","14617014380000","Cook County","90.00000",NA
"5773","MN","INVER GROVE HEIGHTS SCHOOLS","inver grove hgts isd 199","2715030","24501950300000","Dakota County","3612.00000",NA
"5774","CA","Inyo County Office of Education","inyo co spl schs oper by co supt","0691011","05101401430100","Inyo County","14.00000",NA
"5775","KS","Iola","iola unified school district 257","2007740","17500100700000","Allen County","1202.00000",NA
"5776","TX","IOLA ISD","iola ind sch dist 903","4824240","44509300300000","Grimes County","541.00000"," iola independent school district "
"5777","WI","Iola-Scandinavia School District","iola-scandinavia school district","5506840","50506902800000","Waupaca County","638.00000",NA
"5778","MI","Ionia Public Schools","ionia public schools","2619250","23503404400000","Ionia County","3011.00000"," ionia public schools "
"5779","MI","Ionia Township S/D #2","ionia twp sch dist 2f","2619290","23503460100000","Ionia County","8.00000",NA
"5780","IA","Iowa City Comm School District","iowa city community school district","1914700","16505200800000","Johnson County","14939.00000"," iowa city community school district "
"5781","IA","Iowa Falls Comm School District","iowa falls community school district","1914730","16504201200000","Hardin County","1314.00000"," iowa falls community school district "
"5782","TX","IOWA PARK CISD","iowa park cons ind sch district 903","4824260","44524300500000","Wichita County","1941.00000"," iowa park consolidated independent school district "
"5783","IA","Iowa Valley Comm School District","iowa valley community school district","1914850","16504850300000","Iowa County","580.00000"," iowa valley community school district "
"5784","WI","Iowa-Grant School District","iowa-grant school district","5506870","50502550100000","Iowa County","735.00000",NA
"5785","MA","Ipswich","ipswich town schs","2506480","22300500930100","Essex County","1679.00000",NA
"5786","SD","Ipswich Public School District 22-6","ipswich school district 22-6","4636060","42502302000000","Edmunds County","441.00000",NA
"5787","TX","IRA ISD","ira ind sch dist 903","4824300","44520800300000","Scurry County","268.00000"," ira independent school district "
"5788","VT","Ira School District","ira school district","5004830","46501101000000","Rutland County","5.00000",NA
"5789","TX","IRAAN-SHEFFIELD ISD","iraan-sheffield ind school dist 903","4824330","44518600300000","Pecos County","384.00000"," iraan-sheffield independent school district "
"5790","TX","IREDELL ISD","iredell independent school dist","4824360","44501800300000","Bosque County","151.00000"," iredell independent school district "
"5791","NC","Iredell-Statesville Schools","iredell-statesville schools","3702310","34104904930200","Iredell County","20606.00000"," iredell-statesville board of education "
"5792","SD","Irene - Wakonda School District 13-3","irene-wakonda school district 13-3","4680439","42506702700000","Turner County","315.00000",NA
"5793","TX","IRION COUNTY ISD","irion co ind sch dist 902","4830360","44511800200000","Irion County","295.00000"," irion county independent school district "
"5794","MO","IRON CO. C-4","iron co sch dist c 4","2915510","26504702300000","Iron County","350.00000",NA
"5795","UT","Iron District","iron co sch dist","4900390","45501100100000","Iron County","9923.00000"," iron county school district "
"5796","MI","Iron Mountain Public Schools","iron mountain public schools","2619410","23502200400000","Dickinson County","829.00000"," iron mountain public schools "
"5797","OH","Ironton City School District","ironton city sch dist","3904414","36504400600000","Lawrence County","1425.00000"," ironton city school district "
"5798","MI","Ironwood Area Schools of Gogebic County","ironwood area schools of gogebic cnty","2619470","23502700400000","Gogebic County","750.00000","ironwood area schools of gogebic county"
"5799","NY","IROQUOIS CENTRAL SCHOOL DISTRICT","iroquois central sch dist","3615360","33501501700000","Erie County","2149.00000"," iroquois central school district "
"5800","IL","Iroquois County CUSD 9","iroquois county community unit school district 9","1720170","14503801800000","Iroquois County","933.00000"," iroquois county community unit school district no.9 "
"5801","SD","Iroquois School District 02-3","iroquois school district 2-3","4636150","42503901100000","Kingsbury County","228.00000",NA
"5802","PA","Iroquois SD","iroquois school district","4212210","39502570200000","Erie County","1225.00000"," iroquois school district "
"5803","IL","Iroquois Special Education","ford-iroquois county special education association","1700051","14502740100000","Iroquois County","14.00000",NA
"5804","IL","Iroquois West CUSD 10","iroquois west community unit district 10","1720180","14503840100000","Iroquois County","926.00000"," iroquois west community unit school district 10 "
"5805","IL","Iroquois/Kankakee ROE","iroquois/kankakee roe","1700189","14617001890000","Kankakee County","130.00000",NA
"5806","CA","Irvine Unified","irvine unified school dist","0684500","05503090100000","Orange County","36177.00000"," irvine unified school district "
"5807","TX","IRVING ISD","irving ind sch district 912","4824420","44505701200000","Dallas County","33544.00000"," irving independent school district "
"5808","IL","Irvington CCSD 11","irvington community consolidated school district 11","1720190","14509501200000","Washington County","53.00000",NA
"5809","NJ","Irvington Public School District","irvington township schools","3407680","31300761430100","Essex County","8020.00000"," irvington township school district "
"5810","NY","IRVINGTON UNION FREE SCHOOL DISTRICT","irvington uf sch dist","3615450","33506000800000","Westchester County","1805.00000",NA
"5811","GA","Irwin County","irwin co sch dist","1302910","11507700100000","Irwin County","1695.00000"," irwin county board of education "
"5812","GA","Irwin County","irwin co sch dist","1302910","11507700100000","Irwin County","1695.00000"," school district irwin county "
"5813","AZ","Isaac Elementary District (4259)","isaac school district 5","0403960","03500702000000","Maricopa County","6149.00000"," isaac elementary school district no.5 "
"5814","MI","Ishpeming Public School District No. 1","ishpeming public school district 1","2619530","23505200600000","Marquette County","731.00000"," ishpeming public school district no. 1 "
"5815","NJ","Island Heights School District","island heights boro sch dist","3407710","31501500800000","Ocean County","116.00000",NA
"5816","NY","ISLAND PARK UNION FREE SCHOOL DISTRICT","island park union free school dist","3615480","33503002700000","Nassau County","757.00000",NA
"5817","NY","ISLAND TREES UNION FREE SCHOOL DISTRICT","island trees uf sch dist","3615510","33503002400000","Nassau County","2275.00000"," island trees union free school district "
"5818","ME","Isle Au Haut Public Schools","isle au haut town schools","2306780","20300700630100","Hancock County","6.00000",NA
"5819","VA","ISLE OF WIGHT CO PBLC SCHS","isle of wight co schs","5102010","47104704730100","Isle of Wight County","5630.00000",NA
"5820","MN","ISLE PUBLIC SCHOOL DISTRICT","isle school dist 473","2715510","24504890100000","Mille Lacs County","413.00000",NA
"5821","ME","Islesboro Public Schools","islesboro school department","2306810","20301400730100","Waldo County","85.00000",NA
"5822","NM","Isleta Elementary School",NA,"5900081",NA,"Bernalillo County","104.00000",NA
"5823","NY","ISLIP UNION FREE SCHOOL DISTRICT","islip uf sch dist","3615540","33505204800000","Suffolk County","2769.00000"," central islip union free school district "
"5824","NY","ISLIP UNION FREE SCHOOL DISTRICT","islip uf sch dist","3615540","33505204800000","Suffolk County","2769.00000"," islip union free school district "
"5825","WA","Issaquah School District","issaquah school district 411","5303750","48501700900000","King County","21358.00000"," issaquah school district no. 411 "
"5826","OH","iSTEM Geauga Early College High School","istem geauga early college high school","3901575","36639015750000","Lake County","196.00000"," istem geauga early college high school "
"5827","IL","ISU Laboratory Schools","isu  laboratory schools","1700099","14617000990000","McLean County","1020.00000",NA
"5828","TX","ITALY ISD","italy ind sch dist 907","4824450","44507000800000","Ellis County","640.00000"," italy independent school district "
"5829","TX","ITASCA ISD","itasca ind sch dist 907","4824480","44510901000000","Hill County","652.00000"," itasca independent school district "
"5830","IL","Itasca SD 10","itasca elem school district 10","1720220","14502202600000","DuPage County","1021.00000",NA
"5831","MS","ITAWAMBA COUNTY SCHOOL DIST","itawamba co sch dist","2802100","25502950100000","Itawamba County","3468.00000"," itawamba county school district "
"5832","NY","ITHACA CITY SCHOOL DISTRICT","ithaca city school district","3615570","33505500500000","Tompkins County","5341.00000"," ithaca city school district "
"5833","MI","Ithaca Public Schools","ithaca public schs","2619580","23502903900000","Gratiot County","1076.00000"," ithaca public schools "
"5834","WI","Ithaca School District","ithaca school district","5506960","50505304300000","Richland County","434.00000",NA
"5835","IL","Iuka CCSD 7","iuka community consolidated school district 7","1720250","14506101400000","Marion County","221.00000",NA
"5836","MN","IVANHOE PUBLIC SCHOOL DISTRICT","ivanhoe public sch dist 403","2715540","24504101000000","Lincoln County","88.00000",NA
"5837","AR","IZARD CO. CONS. SCHOOL DIST.","izard county consolidated school district","0500021","04503300500000","Izard County","556.00000",NA
"5838","AZ","J O Combs Unified School District (4445)","j o combs unified school district 44","0403990","03501150100000","Pinal County","4567.00000"," j. o. combs unified school district no. 44 "
"5839","IL","J S Morton HSD 201","j sterling morton high school district 201","1726880","14501606700000","Cook County","8054.00000"," j. sterling morton high school district no. 201 "
"5840","IN","Jac-Cen-Del Community Sch Corp","jac-cen-del community school corporation","1804800","15506900500000","Ripley County","818.00000"," jac-cen-del community school corporation "
"5841","TX","JACKSBORO ISD","jacksboro ind sch dist 902","4824530","44511900300000","Jack County","1058.00000"," jacksboro independent school district "
"5842","FL","JACKSON","jackson county school district","1200960","10503200100000","Jackson County","6390.00000"," jackson county district school board "
"5843","OH","Jackson Center Local","jackson center local sch dist","3910005","36507500600000","Shelby County","598.00000"," jackson center local school district "
"5844","OH","Jackson City","jackson city sch dist","3904415","36504000500000","Jackson County","2381.00000"," jackson city school district "
"5845","OH","Jackson City","jackson city sch dist","3904415","36504000500000","Jackson County","2381.00000"," jackson local school district "
"5846","MS","JACKSON CO SCHOOL DIST","jackson co sch dist","2802160","25503050100000","Jackson County","9204.00000"," jackson county school district "
"5847","MS","JACKSON CO SCHOOL DIST","jackson co sch dist","2802160","25503050100000","Jackson County","9204.00000"," jackson public school district "
"5848","AR","JACKSON CO. SCHOOL DISTRICT","jackson county school district","0513230","04503400500000","Jackson County","950.00000",NA
"5849","AL","Jackson County","jackson county school district","0101830","01503600100000","Jackson County","5188.00000"," jackson county board of education "
"5850","GA","Jackson County","jackson co sch dist","1302940","11507800200000","Jackson County","8305.00000"," jackson county board of education "
"5851","GA","Jackson County","jackson co sch dist","1302940","11507800200000","Jackson County","8305.00000"," school district jackson county "
"5852","KY","Jackson County","jackson co sch dist","2102940","18505500100000","Jackson County","2159.00000"," jackson county school district "
"5853","TN","Jackson County","jackson co sch dist","4702070","43104404430100","Jackson County","1426.00000"," jackson county schools "
"5854","MN","JACKSON COUNTY CENTRAL SCHOOL DIST.","jackson county central school district 2895","2700231","24503230100000","Jackson County","1181.00000",NA
"5855","NC","Jackson County Public Schools","jackson county schools","3702340","34105005030100","Jackson County","3636.00000",NA
"5856","WV","JACKSON COUNTY SCHOOLS","jackson co sch dist","5400540","49501800100000","Jackson County","4489.00000"," jackson county board of education "
"5857","MT","Jackson Elem","jackson elem dist 24","3015060","27500101800000","Beaverhead County","5.00000",NA
"5858","KY","Jackson Independent","jackson indep sch dist","2102910","18501300200000","Breathitt County","332.00000",NA
"5859","OH","Jackson Local","jackson local sch dist","3904985","36507600700000","Stark County","5809.00000"," jackson city school district "
"5860","OH","Jackson Local","jackson local sch dist","3904985","36507600700000","Stark County","5809.00000"," jackson local school district "
"5861","LA","Jackson Parish","jackson parish school district","2200780","19502500100000","Jackson Parish","2263.00000","jackson parish school board"
"5862","MS","JACKSON PUBLIC SCHOOL DISTRICT","jackson mun sep sch dist","2802190","25502500100000","Hinds County","22510.00000",NA
"5863","MI","Jackson Public Schools","jackson pub school dist","2619620","23503802200000","Jackson County","4678.00000"," jackson county intermediate school district "
"5864","MI","Jackson Public Schools","jackson pub school dist","2619620","23503802200000","Jackson County","4678.00000"," jackson public schools "
"5865","MO","JACKSON R-II","jackson sch dist r 2","2915600","26501602000000","Cape Girardeau County","5430.00000",NA
"5866","NH","Jackson School District","jackson town sch dist","3303990","30500200900000","Carroll County","43.00000",NA
"5867","NJ","Jackson Township School District","jackson twp sch dist","3407740","31501500900000","Ocean County","8097.00000"," jackson township school district "
"5868","OH","Jackson-Milton Local","jackson milton local school dist","3904832","36505000800000","Mahoning County","756.00000"," jackson-milton local school district "
"5869","AL","Jacksonville City","jacksonville city school district","0101860","01500800400000","Calhoun County","1639.00000"," jacksonville city board of education "
"5870","TX","JACKSONVILLE ISD","jacksonville ind sch dist 904","4824590","44503700900000","Cherokee County","4978.00000"," jacksonville independent school district "
"5871","AR","JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT","jacksonville north pulaski school district","0500419","04506040200000","Pulaski County","4314.00000"," jacksonville-north pulaski school district "
"5872","IL","Jacksonville SD 117","jacksonville school district 117","1720280","14506900300000","Morgan County","3244.00000"," jacksonville school district 117 "
"5873","CA","Jacoby Creek Elementary","jacoby creek elem sch dist","0618660","05501203200000","Humboldt County","467.00000"," jacoby creek elementary school district "
"5874","NH","Jaffrey-Rindge Coop School District","jaffrey rindge sch dist","3304030","30500300800000","Cheshire County","1404.00000",NA
"5875","NM","JAL PUBLIC SCHOOLS","jal public school municipal district","3501350","32501300300000","Lea County","547.00000",NA
"5876","OH","James A Garfield Local","james a garfield sch dist","3904920","36506700800000","Portage County","1345.00000"," james a. garfield local school district "
"5877","NJ","Jamesburg Public School District","jamesburg boro sch dist","3407770","31501200700000","Middlesex County","715.00000","borough of jamesburg school district"
"5878","RI","Jamestown","jamestown schs","4400510","40300300130100","Newport County","489.00000",NA
"5879","ND","JAMESTOWN 1","jamestown pub sch dist 1","3800021","35504702700000","Stutsman County","2210.00000"," jamestown public school district no.1 "
"5880","PA","Jamestown Area SD","jamestown area sch dist","4212300","39504301800000","Mercer County","423.00000",NA
"5881","MO","JAMESTOWN C-1","jamestown county school dist. c-1","2915660","26506800300000","Moniteau County","198.00000",NA
"5882","NY","JAMESTOWN CITY SCHOOL DISTRICT","jamestown city sch dist","3615630","33500701800000","Chautauqua County","4785.00000"," jamestown city school district "
"5883","CA","Jamestown Elementary","jamestown elem sch dist","0618690","05505501100000","Tuolumne County","381.00000"," jamestown elementary school district "
"5884","NY","JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT","jamesville-dewitt central sch dist","3609090","33503400400000","Onondaga County","2713.00000"," jamesville-dewitt central school district "
"5885","IL","Jamp Spec Educ Services","jamp special education services","1700329","14507740100000","Pulaski County","17.00000"," jamp special education services "
"5886","CA","Jamul-Dulzura Union Elementary","jamul-dulzura union school dist","0618730","05503702100000","San Diego County","576.00000",NA
"5887","IA","Janesville Consolidated School District","janesville consolidated school district","1915180","16500901200000","Bremer County","457.00000"," janesville community school district "
"5888","WI","Janesville School District","janesville school district","5507020","50505460100000","Rock County","9899.00000"," school district of janesville "
"5889","CA","Janesville Union Elementary","janesville unified elementary school district","0618780","05501800500000","Lassen County","379.00000","janesville union elementary school district"
"5890","MN","JANESVILLE-WALDORF-PEMBERTON","janesville-waldorf-pembertn schl dist 2835","2791451","24508100100000","Waseca County","679.00000",NA
"5891","TX","JARRELL ISD","jarrell ind sch dist 907","4824600","44524600900000","Williamson County","2107.00000"," jarrell independent school district "
"5892","SC","Jasper 01","jasper county school district","4502520","41502700100000","Jasper County","2656.00000"," jasper county school district "
"5893","IL","Jasper CCSD 17","jasper community consolidated school district 17","1720370","14509601000000","Wayne County","185.00000",NA
"5894","AL","Jasper City","jasper city school district","0101890","01506400200000","Walker County","2734.00000"," jasper city board of education "
"5895","MO","JASPER CO. R-V","jasper sch dist r-5","2916140","26504903200000","Jasper County","471.00000",NA
"5896","GA","Jasper County","jasper co sch dist","1302970","11507900100000","Jasper County","2412.00000"," jasper county board of education "
"5897","IL","Jasper County CUD 1","jasper county community unit school district 1","1720380","14504000600000","Jasper County","1225.00000"," jasper county community unit school district 1 "
"5898","TX","JASPER ISD","jasper ind sch dist 904","4824630","44512100600000","Jasper County","2312.00000"," jasper independent school district "
"5899","AR","JASPER SCHOOL DISTRICT","jasper sch dist","0508240","04505100200000","Newton County","891.00000","jasper school district no.1"
"5900","NY","JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT","jasper-troupsburg sch dist","3600007","33505101400000","Steuben County","412.00000"," jasper-troupsburg central school district "
"5901","OK","JAY","jay sch dist 1","4015690","37502101700000","Delaware County","1490.00000"," jay school district no. i-1 "
"5902","IN","Jay School Corporation","jay county school corporation","1804980","15503870100000","Jay County","3147.00000"," jay county school corporation "
"5903","VT","Jay School District","jay village sch dist","5004950","46501001300000","Orleans County","1.00000",NA
"5904","VT","Jay/Westfield Joint Elementary School District","jay/westfield jt elemtary dist","5004960","46501020200000","Orleans County","96.00000",NA
"5905","KS","Jayhawk","jayhawk unified school district 346","2007750","17505401200000","Linn County","597.00000",NA
"5906","TX","JAYTON-GIRARD ISD","jayton girard ind sch district 902","4824660","44513200100000","Kent County","169.00000"," jayton-girard independent school district "
"5907","PA","Jeannette City SD","jeannette city sch dist","4212330","39506502400000","Westmoreland County","1020.00000",NA
"5908","AZ","Jeehdeez'a Elementary School",NA,"5900079",NA,"Navajo County","120.00000",NA
"5909","GA","Jeff Davis County","jeff davis co sch dist","1303000","11508000100000","Jeff Davis County","3084.00000"," jeff davis county board of education "
"5910","GA","Jeff Davis County","jeff davis co sch dist","1303000","11508000100000","Jeff Davis County","3084.00000"," school district jeff davis county "
"5911","FL","JEFFERSON","jefferson county school district","1200990","10503300100000","Jefferson County","758.00000",NA
"5912","OH","Jefferson Area Local","jefferson area local sch dist","3904587","36500401400000","Ashtabula County","1668.00000"," jefferson area local school district "
"5913","MO","JEFFERSON C-123","jefferson sch dist c 123","2916200","26507404000000","Nodaway County","139.00000",NA
"5914","NY","JEFFERSON CENTRAL SCHOOL DISTRICT","jefferson central sch","3615720","33504800400000","Schoharie County","206.00000",NA
"5915","GA","Jefferson City","jefferson ind sch dist","1303030","11507800300000","Jackson County","4003.00000"," jefferson county board of education "
"5916","MO","JEFFERSON CITY","jefferson city sch dist","2916190","26502600600000","Cole County","8998.00000"," jefferson city school district "
"5917","MS","JEFFERSON CO SCHOOL DIST","jefferson county school district","2802220","25503250100000","Jefferson County","1102.00000"," jefferson county school district "
"5918","MO","JEFFERSON CO. R-VII","jefferson co sch dist r7","2916230","26505001000000","Jefferson County","1111.00000",NA
"5919","GA","Jefferson County","jefferson co sch dist","1303060","11508100100000","Jefferson County","2382.00000"," jefferson county board of education "
"5920","AL","Jefferson County","jefferson county board of education","0101920","01503700400000","Jefferson County","36359.00000",NA
"5921","KY","Jefferson County","jefferson co school district","2102990","18505600200000","Jefferson County","100348.00000"," jefferson county board of education "
"5922","TN","Jefferson County","jefferson co sch dist","4702100","43104504530100","Jefferson County","7221.00000"," jefferson county schools "
"5923","ID","JEFFERSON COUNTY JOINT DISTRICT","jefferson county joint school district 251","1601570","13502600100000","Jefferson County","6280.00000",NA
"5924","KS","Jefferson County North","jefferson county north unified school district 339","2013020","17504403800000","Jefferson County","477.00000",NA
"5925","CO","Jefferson County School District No. R-1","jefferson co sch dist r-1","0804800","06503000100000","Jefferson County","84078.00000"," jefferson county school district no r-1 "
"5926","WV","JEFFERSON COUNTY SCHOOLS","jefferson co sch dist","5400570","49501900100000","Jefferson County","8954.00000"," jefferson county board of education "
"5927","OR","Jefferson County SD 509J","jefferson sch dist 509 j","4106740","38501600700000","Jefferson County","2895.00000","jefferson county school district no. 509j"
"5928","MS","JEFFERSON DAVIS CO SCHOOL DIST","jefferson davis county school district","2802250","25503350100000","Jefferson Davis County","1362.00000"," jefferson davis county school district "
"5929","LA","Jefferson Davis Parish","jefferson davis parish school district","2200810","19502700100000","Jefferson Davis Parish","5705.00000","jefferson davis parish school board"
"5930","CA","Jefferson Elementary","jefferson elem sch dist","0618810","05503500900000","San Benito County","5.00000"," jefferson elementary school district "
"5931","CA","Jefferson Elementary","jefferson elem sch dist","0618810","05503500900000","San Benito County","5.00000"," jefferson union high school district "
"5932","CA","Jefferson Elementary","jefferson elem sch dist","0618840","05504100900000","San Joaquin County","2287.00000"," jefferson elementary school district "
"5933","CA","Jefferson Elementary","jefferson elem sch dist","0618840","05504100900000","San Joaquin County","2287.00000"," jefferson union high school district "
"5934","CA","Jefferson Elementary","jefferson elem sch dist","0618870","05503903100000","San Mateo County","5862.00000"," jefferson elementary school district "
"5935","CA","Jefferson Elementary","jefferson elem sch dist","0618870","05503903100000","San Mateo County","5862.00000"," jefferson union high school district "
"5936","MT","Jefferson H S","jefferson h s dist 1","3015120","27502240130200","Jefferson County","289.00000",NA
"5937","TX","JEFFERSON ISD","jefferson ind sch dist 901","4824730","44515800300000","Marion County","1271.00000"," jefferson independent school district "
"5938","OH","Jefferson Local","jefferson local sch dist","3904825","36504900300000","Madison County","1140.00000"," jefferson local school district "
"5939","LA","Jefferson Parish","jefferson parish school district","2200840","19502600100000","Jefferson Parish","49862.00000"," jefferson parish public school system "
"5940","ME","Jefferson Public Schools","jefferson town schools","2306870","20300800930100","Lincoln County","278.00000",NA
"5941","WI","Jefferson School District","jefferson school district","5507050","50502890100000","Jefferson County","1821.00000"," school district of jefferson "
"5942","MI","Jefferson Schools (Monroe)","jefferson schools (monroe)","2619800","23505801800000","Monroe County","1530.00000",NA
"5943","OR","Jefferson SD 14J","jefferson sch dist 14j","4106710","38502402300000","Marion County","828.00000"," jefferson school district no. 14j "
"5944","OH","Jefferson Township Local","jefferson township local sch dist","3904868","36505700700000","Montgomery County","259.00000"," jefferson township local school district "
"5945","NJ","Jefferson Township Public School District","jefferson twp sch dist","3407800","31501401400000","Morris County","2808.00000"," jefferson township school district "
"5946","CA","Jefferson Union High","jefferson union high school district","0618930","05504101000000","San Mateo County","4342.00000",NA
"5947","KS","Jefferson West","jefferson west unified school district 340","2009510","17504401200000","Jefferson County","872.00000",NA
"5948","PA","Jefferson-Morgan SD","jefferson-morgan sch dist","4212390","39503001200000","Greene County","754.00000"," jefferson morgan school district "
"5949","NM","Jemez Day School",NA,"5900140",NA,"Sandoval County","148.00000",NA
"5950","NM","JEMEZ MOUNTAIN PUBLIC SCHOOLS","jemez mountain school district","3501380","32502170200000","Rio Arriba County","212.00000",NA
"5951","NM","JEMEZ VALLEY PUBLIC SCHOOLS","jemez valley school district","3501410","32502350100000","Sandoval County","362.00000",NA
"5952","MI","Jenison Public Schools","jenison sch dist","2619830","23507001900000","Ottawa County","5182.00000"," jenison public schools "
"5953","GA","Jenkins County","jenkins co sch dist","1303090","11508200100000","Jenkins County","1133.00000"," jenkins county board of education "
"5954","GA","Jenkins County","jenkins co sch dist","1303090","11508200100000","Jenkins County","1133.00000"," school district jenkins county "
"5955","KY","Jenkins Independent","jenkins ind sch dist","2103000","18506700100000","Letcher County","436.00000"," jenkins independent school district "
"5956","PA","Jenkintown SD","jenkintown sch dist","4212420","39504601800000","Montgomery County","730.00000",NA
"5957","OK","JENKS","jenks sch dist 5","4015720","37507200700000","Tulsa County","12527.00000"," jenks public school district no. i-5 "
"5958","MO","JENNINGS","jennings sch dist","2916290","26509501100000","St. Louis County","2509.00000"," school district of jennings "
"5959","OK","JENNINGS","jennings sch dist 2","4015750","37505900500000","Pawnee County","224.00000","jennings public schools"
"5960","IN","Jennings County School Corporation","jennings county school corporatn","1805190","15504070100000","Jennings County","4173.00000",NA
"5961","OH","Jennings Local","jennings local sch dist","3904933","36506900600000","Putnam County","366.00000",NA
"5962","NY","JERICHO UNION FREE SCHOOL DISTRICT","jericho uf sch dist","3615810","33503005100000","Nassau County","3173.00000"," jericho union free school district "
"5963","ID","JEROME JOINT DISTRICT","jerome joint school district 261","1601590","13502700300000","Jerome County","4184.00000",NA
"5964","NJ","Jersey City Public Schools","jersey city school system","3407830","31000000030100","Hudson County","29113.00000",NA
"5965","IL","Jersey CUSD 100","jerseyville community unit school district 100","1720430","14504200100000","Jersey County","2564.00000",NA
"5966","PA","Jersey Shore Area SD","jersey shore area school dist","4212480","39504101600000","Lycoming County","2305.00000"," jersey shore area school district "
"5967","KY","Jessamine County","jessamine co school district","2103030","18505700100000","Jessamine County","8675.00000"," jessamine county school district "
"5968","AR","JESSIEVILLE SCHOOL DISTRICT","jessieville sch dist","0507920","04502660100000","Garland County","873.00000","jessieville school district no.1"
"5969","IA","Jesup Comm School District","jesup community school district","1915330","16501001500000","Buchanan County","1063.00000"," jesup community school district "
"5970","OR","Jewell SD 8","jewell sch dist 8","4106750","38500400700000","Clatsop County","154.00000","jewell school district"
"5971","TX","JIM HOGG COUNTY ISD","jim hogg ind sch dist 901","4824750","44512400100000","Jim Hogg County","1153.00000"," jim hogg county independent school district "
"5972","TX","JIM NED CISD","jim ned ind sch dist 911","4824780","44522100700000","Taylor County","1366.00000"," jim ned consolidated independent school district "
"5973","PA","Jim Thorpe Area SD","jim thorpe area school dist","4212540","39501300800000","Carbon County","2064.00000"," jim thorpe area school district "
"5974","MI","JKL Bahweting Anishnabe School",NA,"5900054",NA,"Chippewa County","373.00000",NA
"5975","TX","JOAQUIN ISD","joaquin ind sch dist 902","4824810","44521000400000","Shelby County","660.00000"," joaquin independent school district "
"5976","MI","Johannesburg-Lewiston Area Schools","johannesburg-lewiston area scools","2619890","23506901000000","Otsego County","706.00000"," johannesburg-lewiston area schools "
"5977","OR","John Day SD 3","grant admin school dist 3","4106780","38501200800000","Grant County","594.00000","grant school district 3"
