"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1749","Arroyo Grande","05204000100000",101831,"General Purpose",31300590,0,4841530,189494,1029258,0,18121851,0,6232959,0,885498,11024594,1452942,1505227,16810396,2040620,28752539,6795904,92749,0,30793159,FALSE,"1600000US0602868","Arroyo Grande city","California",18441,"CA","CITY OF ARROYO GRANDE","ARROYO GRANDE","SAN LUIS OBISPO"
"1750","Fairmont","49202500100000",89611,"General Purpose",121871094,35232827,1944264,0,0,0,80582346,0,2201795,0,1909862,13167173,2641189,89846,12810173,538028,28170353,0,0,0,28708381,FALSE,"1600000US5426452","Fairmont city","West Virginia",18416,"WV","CITY OF FAIRMONT","FAIRMONT","MARION"
"1751","Johnstown","39201101700000",37731,"General Purpose",52308348,6635000,711272,667001,0,22639012,714576,0,19958315,0,983172,5682357,5020328,3070710,-6747210,-14932341,21958526,4796093,3085619,0,7881712,FALSE,"1600000US4238288","Johnstown city","Pennsylvania",18411,"PA","CITY OF JOHNSTOWN","JOHNSTOWN","CAMBRIA"
"1752","Tallmadge","36207701400000",84531,"General Purpose",33504270,6240860,1726681,1166176,1059158,0,16429123,4516,5806238,0,1076034,7828646,3814475,600954,16983230,624686,28602619,0,0,0,29227305,FALSE,"1600000US3976106","Tallmadge city","Ohio",18394,"OH","CITY OF TALLMADGE","TALLMADGE","SUMMIT"
"1753","Lenoir","34201400300000",41183,"General Purpose",31737038,0,892061,0,16469484,0,5816033,0,2518275,0,794687,11136172,2707039,180554,17178234,2173944,29028055,0,0,0,31201999,FALSE,"1600000US3737760","Lenoir city","North Carolina",18352,"NC","CITY OF LENOIR","LENOIR","CALDWELL"
"1754","Winder","11200700600000",58590,"General Purpose",40195883,9985183,3278647,9952311,0,10089986,6101658,0,470832,0,317266,31514192,21833,7319640,8697479,12035685,35517459,0,0,0,47553144,FALSE,"1600000US1383420","Winder city","Georgia",18338,"GA","CITY OF WINDER","WINDER","BARROW"
"1755","Kingsland","11202000100000",95836,"General Purpose",8464966,3895056,1780817,121077,0,911042,1321556,0,0,0,435418,11293238,654888,3266846,10478294,8045877,17647389,0,0,0,25693266,FALSE,"1600000US1343640","Kingsland city","Georgia",18337,"GA","CITY OF KINGSLAND","KINGSLAND","CAMDEN"
"1756","Manchester","26209505100000",120248,"General Purpose",35941874,34478254,993040,0,0,0,0,0,470580,0,0,932880,1515862,1008234,19981929,8951397,14487508,0,0,0,23438905,FALSE,"1600000US2945668","Manchester city","Missouri",18333,"MO","CITY OF MANCHESTER","MANCHESTER","ST LOUIS"
"1757","Blythe","05203300300000",67081,"General Purpose",50753514,3815000,2610815,6947876,5107437,0,20934778,0,10523470,0,814138,9020088,2054893,608024,6643297,-1424052,19750354,3099462,6770,0,18326302,FALSE,"1600000US0607218","Blythe city","California",18317,"CA","CITY OF BLYTHE","BLYTHE","RIVERSIDE"
"1758","Newburyport","22200500600000",59291,"General Purpose",238261269,98515711,6878402,165633,0,2570000,36531000,0,88586382,0,5014141,18892707,17297775,1484088,67553888,-8326429,113554887,0,0,0,105228458,FALSE,"1600000US2545245","Newburyport city","Massachusetts",18289,"MA","CITY OF NEWBURYPORT","NEWBURYPORT","ESSEX"
