acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Warner Unified School District,146755,2020,4811392,0,1387593,0,0,0,3134701,0,278010,0,10998,151024,981442,0,3328394,151668,4309192,0,0,0,4460860,warner unified,1.0785794667395974,1 - 5%,California,0600042,Warner Unified,San Diego County,204
Callaway Public Schools,108780,2020,0,0,0,0,0,0,949219,0,0,0,0,178911,483998,0,3669889,-323355,4656153,0,0,0,4332798,callaway,0, Below 1%,Nebraska,3100012,CALLAWAY PUBLIC SCHOOLS,Custer County,203
Chester Independent School District,163500,2020,2145901,0,363595,0,0,88953,646544,0,1046809,0,0,29141,272009,0,2819219,108013,3012356,0,0,0,3120369,chester,0.6877074474204814, Below 1%,Texas,4813770,CHESTER ISD,Tyler County,203
Merced River Union Elementary School District,146374,2020,3711371,0,117255,0,0,0,3594116,0,0,0,0,13019,292071,0,2724823,298790,2731123,0,0,0,3029913,merced river union elementary,1.2249100881774493,1 - 5%,California,0624630,Merced River Union Elementary,Merced County,203
Mount Calm Independent School District,163807,2020,2917419,1500000,148701,110000,0,93385,422519,0,642814,0,0,98570,477381,0,2823818,411815,2987954,0,0,0,3399769,mount calm,0.8581227136314261, Below 1%,Texas,4831620,MOUNT CALM ISD,Hill County,203
Plaza Elementary School District,146513,2020,3179502,260000,182237,49999,0,0,1825153,0,862113,0,0,129339,218279,260546,2163561,284158,2487567,0,0,0,2771725,plaza elementary,1.1471202951230732,1 - 5%,California,0630870,Plaza Elementary,Glenn County,203
Regional School District 1,68354,2020,6009792,5862413,147379,0,0,0,0,0,0,0,0,15758543,5242962,11947,413684,421519,21005617,0,0,0,21427136,regional,0.28047574813544845, Below 1%,Connecticut,0903570,Regional School District 11,Windham County,203
Regional School District 18,68344,2020,26223460,22305828,914967,182847,0,0,0,0,2702813,0,0,457850,6499047,0,34233727,2986187,38204437,0,0,0,41190624,regional,0.6366366287628952, Below 1%,Connecticut,0903570,Regional School District 11,Windham County,203
Rochelle Independent School District,163912,2020,2401239,0,171807,0,0,0,727115,0,1502317,0,0,49838,534827,0,2420877,-121212,3126754,0,0,0,3005542,rochelle,0.798937096869716, Below 1%,Texas,4837500,ROCHELLE ISD,McCulloch County,203
Chillicothe Independent School District,163502,2020,13092770,10504859,11165092,0,0,0,687565,0,1240113,0,0,33127,443214,0,4553626,1068953,3961014,0,0,0,5029967,chillicothe,2.6029534587403855,1 - 5%,Texas,4813890,CHILLICOTHE ISD,Hardeman County,202
Anton Independent School District,163322,2020,2127706,0,156500,0,0,0,760546,0,1210660,0,0,26136,534246,22599,2566507,-309104,3458592,0,0,0,3149488,anton,0.6755720294854275, Below 1%,Texas,4808460,ANTON ISD,Hockley County,200
Paducah Independent School District,163837,2020,1835219,0,400297,0,0,0,553096,0,881826,0,0,122400,671993,0,2587559,-67483,3449435,19474,1489,0,3381952,paducah,0.5426508123119429, Below 1%,Texas,4833900,PADUCAH ISD,Cottle County,200
San Isidro Independent School District,163929,2020,2754109,182000,351193,0,0,30114,881990,0,1308812,0,0,86273,692847,0,3684848,299463,4164505,0,0,0,4463968,san isidro,0.6169643241170187, Below 1%,Texas,4838910,SAN ISIDRO ISD,Starr County,200
Trinidad Union Elementary School District,146716,2020,4684036,2179054,195292,0,205203,0,1895670,0,208817,0,0,22008,474039,11736,1991895,-202793,2702471,0,0,0,2499678,trinidad union elementary,1.8738557526209376,1 - 5%,California,0639720,Trinidad Union Elementary,Humboldt County,200
Turkey-Quitaque Independent School District,164011,2020,3835073,2289977,229003,0,0,0,523690,0,792403,0,0,70655,760851,0,2470823,133888,3168441,0,0,0,3302329,turkey-quitaque,1.1613237203198106,1 - 5%,Texas,4843400,TURKEY-QUITAQUE ISD,Briscoe County,200
Garner Independent School District,163596,2020,2528359,1107456,111590,0,0,197449,434802,0,677062,0,0,37907,465743,0,2521017,156871,2867796,0,0,0,3024667,garner,0.8359131765579484, Below 1%,Texas,4820370,GARNER ISD,Parker County,199
Newcastle Independent School District,163818,2020,6058314,4500000,212780,0,0,0,566923,0,778611,0,0,30392,557128,0,2990722,466623,3111619,0,0,0,3578242,newcastle,1.6930978955587688,1 - 5%,Texas,4832700,NEWCASTLE ISD,Young County,199
South Platte Public Schools,108823,2020,0,5385000,0,0,0,0,951371,0,0,0,0,50778,406991,0,3660930,-504152,4622851,0,0,0,4118699,south platte,0, Below 1%,Nebraska,3100110,SOUTH PLATTE PUBLIC SCHOOLS,Deuel County,199
Apple Springs Independent School District,163323,2020,1716826,0,364594,0,0,135812,517437,0,698983,0,0,28469,295820,0,2594609,120368,2798530,0,0,0,2918898,apple springs,0.5881760856323174, Below 1%,Texas,4808490,APPLE SPRINGS ISD,Trinity County,198
Devers Independent School District,163544,2020,1761535,279570,256851,0,0,0,522799,0,702315,0,0,106319,180576,0,2659593,279020,2667468,0,0,0,2946488,devers,0.5978422447333911, Below 1%,Texas,4816920,DEVERS ISD,Liberty County,198
Hydesville Elementary School District,146226,2020,2942858,1130460,134116,0,0,0,1672133,0,0,0,6149,21773,273100,0,1858790,71867,2081796,0,0,0,2153663,hydesville elementary,1.366443125038597,1 - 5%,California,0618120,Hydesville Elementary,Humboldt County,198
Istem Geauga Early College High School,83403,2020,106754,0,106754,0,0,0,0,0,0,0,0,0,0,120037,1412193,-261586,1793816,0,0,0,1532230,istem geauga early college high school,0.06967230768226702, Below 1%,Ohio,3901575,iSTEM Geauga Early College High School,Lake County,196
Leggett Independent School District,163716,2020,4304547,3119662,91754,0,0,0,444322,0,648809,0,0,24737,620677,0,2525657,488169,2682902,0,0,0,3171071,leggett,1.3574426431953117,1 - 5%,Texas,4827120,LEGGETT ISD,Polk County,196
Vallecitos Elementary School District,146741,2020,3065383,0,448183,0,0,0,2617200,0,0,0,0,287933,456658,7483,2546931,137640,3161365,0,0,0,3299005,vallecitos elementary,0.929184102479384, Below 1%,California,0640710,Vallecitos Elementary,San Diego County,195
