"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"4643","Riceboro","11208950200000","General Purpose",6577740,5743072,50561,0,0,660208,114892,0,0,0,9007,864631,21645,654906,799701,-220164,2561047,0,0,0,2340883,FALSE,"1600000US1364960","Riceboro city","Georgia",615,"GA","CITY OF RICEBORO","RICEBORO","LIBERTY"
"4644","Cedar Bluffs","28207800200000","General Purpose",873250,575000,0,0,298250,0,0,0,0,0,0,247989,100528,0,264829,75103,538243,0,0,0,613346,FALSE,"1600000US3108150","Cedar Bluffs village","Nebraska",615,"NE","VILLAGE OF CEDAR BLUFFS","CEDAR BLUFFS","SAUNDERS"
"4645","La Crosse","47205900400000","General Purpose",317853,0,45842,0,0,253115,0,0,18896,0,0,401944,95140,0,337687,-25837,860608,0,0,0,834771,FALSE,"1600000US5143176","La Crosse town","Virginia",614,"VA","TOWN OF LA CROSSE","LA CROSSE","MECKLENBURG"
"4646","New Boston","14206600500000","General Purpose",749015,296000,47342,0,0,405673,0,0,0,0,0,690512,51113,26464,178616,163606,783099,0,0,0,946705,FALSE,"1600000US1752220","New Boston city","Illinois",613,"IL","CITY OF NEW BOSTON","NEW BOSTON","MERCER"
"4647","Suttons Bay","23204500300000","General Purpose",2352550,1110000,237197,0,1005353,0,0,0,0,0,0,1409099,195450,5750,806649,81892,2335056,0,0,0,2416948,FALSE,"1600000US2677600","Suttons Bay village","Michigan",613,"MI","VILLAGE OF SUTTONS BAY","SUTTONS BAY","LEELANAU"
"4648","Friendship","43201700300000","General Purpose",1061550,293426,48738,0,0,719386,0,200440,0,0,0,595192,33184,0,275710,-176982,1081068,0,0,0,904086,FALSE,"1600000US4727960","Friendship city","Tennessee",613,"TN","CITY OF FRIENDSHIP","FRIENDSHIP","CROCKETT"
"4649","Fairmount","14209200600000","General Purpose",18488,0,18488,0,0,0,0,0,0,0,0,92452,0,0,213605,47021,259036,0,0,0,306057,FALSE,"1600000US1724985","Fairmount village","Illinois",612,"IL","VILLAGE OF FAIRMOUNT","FAIRMOUNT","VERMILION"
"4650","Niantic","14205800700000","General Purpose",340574,0,18489,0,0,0,0,0,0,0,0,134984,0,500000,256784,553372,338396,0,0,0,891768,FALSE,"1600000US1752961","Niantic village","Illinois",612,"IL","VILLAGE OF NIANTIC","NIANTIC","MACON"
"4651","Oxford","21202100200000","General Purpose",3869411,2402016,302962,0,0,479082,685351,0,0,0,0,1127416,16710,1901883,1224714,2022750,2247973,0,0,0,4270723,FALSE,"1600000US2459450","Oxford town","Maryland",611,"MD","TOWN OF OXFORD","OXFORD","TALBOT"
"4652","Beemer","28202000200000","General Purpose",0,1315000,0,0,0,0,0,0,0,0,0,329738,144195,0,1418138,226670,1665401,0,898982,0,1892071,FALSE,"1600000US3103635","Beemer village","Nebraska",611,"NE","VILLAGE OF BEEMER","BEEMER","CUMING"
"4653","Dodge","28202700100000","General Purpose",0,0,0,0,0,49671,0,0,0,0,0,334344,1978,0,607880,-22219,966421,0,0,0,944202,FALSE,"1600000US3113295","Dodge village","Nebraska",611,"NE","VILLAGE OF DODGE","DODGE","DODGE"
"4654","Vici","37202200700000","General Purpose",173741,0,43436,0,0,130305,0,0,0,0,0,3945138,728526,1485,573069,835234,4412984,0,0,0,5248218,FALSE,"1600000US4077300","Vici town","Oklahoma",611,"OK","TOWN OF VICI","VICI","DEWEY"
"4655","Franklin","14206900300000","General Purpose",1611102,0,43,0,1611059,0,127958,0,0,0,0,689058,21259,0,156190,-59902,926409,0,0,0,866507,FALSE,"1600000US1727663","Franklin village","Illinois",610,"IL","VILLAGE OF FRANKLIN","FRANKLIN","MORGAN"
"4656","Dorchester","28207600300000","General Purpose",1538521,1020000,76196,82260,66872,293193,0,0,0,0,0,1127682,232,266106,346293,292176,1448137,0,0,0,1740313,FALSE,"1600000US3113435","Dorchester village","Nebraska",610,"NE","VILLAGE OF DORCHESTER","DORCHESTER","SALINE"
"4657","Ursa","14200170100000","General Purpose",18881,0,18881,0,0,0,0,0,0,0,0,193837,30,0,203127,49158,347836,0,0,0,396994,FALSE,"1600000US1777044","Ursa village","Illinois",609,"IL","VILLAGE OF URSA","URSA","ADAMS"
"4658","Overton","28202400600000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,224118,109259,0,417519,-97469,848365,0,23,0,750896,FALSE,"1600000US3137770","Overton village","Nebraska",607,"NE","VILLAGE OF OVERTON","OVERTON","DAWSON"
"4659","Philadelphia","43205380100000","General Purpose",275431,0,2360,0,0,273071,0,0,0,0,0,0,55323,0,112816,34793,133346,0,0,0,168139,FALSE,"1600000US4757900","Philadelphia city","Tennessee",607,"TN","CITY OF PHILADELPHIA","PHILADELPHIA","LOUDON"
"4660","Langley","37204900300000","General Purpose",1542724,0,132425,15971,0,1394329,0,0,0,0,0,485238,10875,36702,1267302,355643,1444474,0,0,0,1800117,FALSE,"1600000US4041500","Langley town","Oklahoma",606,"OK","TOWN OF LANGLEY","LANGLEY","MAYES"
"4661","Palmyra","14205901700000","General Purpose",726782,0,782,0,726000,0,0,0,0,0,0,354481,226919,0,399488,245651,735237,0,0,0,980888,FALSE,"1600000US1757329","Palmyra village","Illinois",605,"IL","VILLAGE OF PALMYRA","PALMYRA","MACOUPIN"
"4662","Forest Hill","19204000400000","General Purpose",331960,171733,133227,0,0,17848,0,0,0,0,9152,1160067,7800,0,171928,-124775,1464570,0,0,0,1339795,FALSE,"1600000US2226420","Forest Hill village","Louisiana",605,"LA","VILLAGE OF FOREST HILL","FOREST HILL","RAPIDES"
"4663","Hillman","23206000100000","General Purpose",438347,415000,23347,0,0,0,0,0,0,0,0,322353,151386,0,270877,-56190,800806,0,0,0,744616,FALSE,"1600000US2638380","Hillman village","Michigan",605,"MI","VILLAGE OF HILLMAN","HILLMAN","MONTMORENCY"
"4664","Adams","28203400100000","General Purpose",3079432,2929280,0,0,0,0,0,0,0,0,0,442351,2707,10546,499027,43685,910946,0,0,0,954631,FALSE,"1600000US3100240","Adams village","Nebraska",604,"NE","VILLAGE OF ADAMS","ADAMS","GAGE"
"4665","Manzanita","38202950100000","General Purpose",4310753,2825000,103803,0,0,1381950,0,0,0,0,0,1491416,5919,1872,2244344,751266,2992285,0,0,0,3743551,FALSE,"1600000US4145700","Manzanita city","Oregon",603,"OR","CITY OF MANZANITA","MANZANITA","TILLAMOOK"
"4666","Porum","37205100800000","General Purpose",966911,0,139972,72887,0,685906,15659,0,0,0,53487,1493756,9892,331145,287707,504434,1618066,0,0,0,2122500,FALSE,"1600000US4060250","Porum town","Oklahoma",602,"OK","TOWN OF PORUM","PORUM","MUSKOGEE"
"4667","Garden","45201700100000","General Purpose",6811651,6160329,532404,0,0,0,87331,0,0,0,31586,1473102,59577,736136,1336889,1048666,2557039,0,0,0,3605705,FALSE,"1600000US4927930","Garden City town","Utah",602,"UT","TOWN OF GARDEN CITY","GARDEN CITY","RICH"
"4668","Stanford","14205701800000","General Purpose",50553,0,47027,0,3526,0,0,0,0,0,0,165591,2514,0,228039,-39995,436139,0,0,0,396144,FALSE,"1600000US1772260","Stanford village","Illinois",600,"IL","VILLAGE OF STANFORD","STANFORD","MCLEAN"
"4669","Morse","19200100600000","General Purpose",63458,0,49546,13912,0,0,0,0,0,0,0,318315,0,41395,113336,-30438,503484,0,0,0,473046,FALSE,"1600000US2252320","Morse village","Louisiana",599,"LA","VILLAGE OF MORSE","MORSE","ACADIA"
"4670","Hay Springs","28208100300000","General Purpose",480362,180000,42143,0,258219,0,0,0,0,0,0,258383,84227,242500,480809,-73109,1139028,154960,453,0,1065919,FALSE,"1600000US3121730","Hay Springs village","Nebraska",599,"NE","CITY OF HAY SPRINGS","HAY SPRINGS","SHERIDAN"
"4671","Orderville","45201300400000","General Purpose",2379118,2130826,42990,0,0,169000,36302,0,0,0,0,273026,31355,20000,418099,-47338,789818,0,0,0,742480,FALSE,"1600000US4957080","Orderville town","Utah",598,"UT","TOWN OF ORDERVILLE","ORDERVILLE","KANE"
"4672","Hopkins Park","14204680100000","General Purpose",71996,52340,0,0,0,19656,0,0,0,0,0,125837,21798,0,227612,-139461,514708,0,0,0,375247,FALSE,"1600000US1736190","Hopkins Park village","Illinois",597,"IL","VILLAGE OF HOPKINS PARK","HOPKINS PARK","KANKAKEE"
"4673","High Shoals","34203690100000","General Purpose",120052,0,33844,0,0,0,0,0,0,0,0,240603,442588,1532086,275297,1563748,926826,0,0,0,2490574,FALSE,"1600000US3731440","High Shoals city","North Carolina",595,"NC","CITY OF HIGH SHOALS","HIGH SHOALS","GASTON"
"4674","Greenwood","28201300500000","General Purpose",0,922211,0,0,0,94832,0,0,0,0,0,773690,9816,10000,634564,344531,1083539,515939,78,0,1428070,FALSE,"1600000US3120190","Greenwood village","Nebraska",595,"NE","VILLAGE OF GREENWOOD","GREENWOOD","CASS"
"4675","Valparaiso","28207801200000","General Purpose",0,185000,0,0,0,0,0,0,0,0,0,243386,0,0,305540,96997,451929,0,231567,0,548926,FALSE,"1600000US3150125","Valparaiso village","Nebraska",595,"NE","VILLAGE OF VALPARAISO","VALPARAISO","SAUNDERS"
"4676","Danforth","14203800800000","General Purpose",1795,0,0,0,0,0,0,0,0,0,0,109468,0,0,171115,50227,230356,0,0,0,280583,FALSE,"1600000US1718498","Danforth village","Illinois",594,"IL","VILLAGE OF DANFORTH","DANFORTH","IROQUOIS"
"4677","Metamora","23204400700000","General Purpose",18494,0,18494,0,0,0,0,0,0,0,0,215436,77030,0,376294,-58251,727011,0,0,0,668760,FALSE,"1600000US2653340","Metamora village","Michigan",594,"MI","VILLAGE OF METAMORA","METAMORA","LAPEER"
"4678","Earlsboro","37206300200000","General Purpose",835506,0,0,23235,0,812271,0,0,0,0,0,112943,0,0,374723,96960,390706,5760770,217500,0,5978270,FALSE,"1600000US4022500","Earlsboro town","Oklahoma",594,"OK","TOWN OF EARLSBORO","EARLSBORO","POTTAWATOMIE"
"4679","Peck","23207601100000","General Purpose",542201,335000,207201,0,0,0,0,0,0,0,0,339168,0,0,365054,2445,701777,0,0,0,704222,FALSE,"1600000US2663260","Peck village","Michigan",593,"MI","VILLAGE OF PECK","PECK","SANILAC"
"4680","Arnold","28202100300000","General Purpose",0,0,0,0,0,16989,0,0,0,0,0,1275338,0,0,438085,221744,1491679,96996,0,0,1713423,FALSE,"1600000US3102095","Arnold village","Nebraska",592,"NE","VILLAGE OF ARNOLD","ARNOLD","CUSTER"
"4681","Fairmont","28203000200000","General Purpose",0,2712294,0,0,0,89103,0,0,0,0,0,871007,45681,44001,1369689,-88967,2419345,0,953766,0,2330378,FALSE,"1600000US3116550","Fairmont village","Nebraska",592,"NE","CITY OF FAIRMONT","FAIRMONT","FILLMORE"
"4682","Wausa","28205400900000","General Purpose",0,0,0,0,0,249134,0,0,0,0,0,254133,187245,0,517969,-300943,1260290,0,0,0,959347,FALSE,"1600000US3151735","Wausa village","Nebraska",592,"NE","VILLAGE OF WAUSA","WAUSA","KNOX"
"4683","Yankeetown","10203800600000","General Purpose",1067522,0,195475,0,0,651103,209666,0,0,0,11278,540054,36187,0,365165,-229360,1170766,0,0,0,941406,FALSE,"1600000US1278925","Yankeetown town","Florida",588,"FL","TOWN OF YANKEETOWN","YANKEETOWN","LEVY"
"4684","Simpson","19205880100000","General Purpose",153780,0,28403,0,0,120978,0,0,0,0,0,154694,965,5720,75572,-8827,245778,0,0,0,236951,FALSE,"1600000US2270595","Simpson village","Louisiana",585,"LA","VILLAGE OF SIMPSON","SIMPSON","VERNON"
"4685","Harrah","48203900300000","General Purpose",0,0,0,0,746359,0,0,0,0,0,3885,246976,87419,0,280887,126746,488536,0,0,0,615282,FALSE,"1600000US5329710","Harrah town","Washington",585,"WA","TOWN OF HARRAH","HARRAH","YAKIMA"
"4686","Clayton","19201500100000","General Purpose",413041,0,178235,0,234806,0,0,0,0,0,0,342108,0,0,41539,-212867,596514,287529,2,0,383647,FALSE,"1600000US2215850","Clayton town","Louisiana",584,"LA","TOWN OF CLAYTON","CLAYTON","CONCORDIA"
"4687","Cankton","19204970100000","General Purpose",222131,0,197498,24633,0,0,0,0,0,0,0,377137,0,12300,132516,-65954,587907,0,0,0,521953,FALSE,"1600000US2212420","Cankton village","Louisiana",583,"LA","VILLAGE OF CANKTON","CANKTON","ST LANDRY"
"4688","Ridgecrest","19201580100000","General Purpose",44971,0,8176,0,0,0,0,0,0,0,0,233489,14693,0,86810,-30600,365592,0,0,0,334992,FALSE,"1600000US2264765","Ridgecrest town","Louisiana",583,"LA","TOWN OF RIDGECREST","RIDGECREST","CONCORDIA"
"4689","Mackinac Island","23204900100000","General Purpose",13875504,12371000,461995,0,1012452,0,0,0,0,0,30057,4235499,551695,0,3030088,448766,7368516,0,0,0,7817282,FALSE,"1600000US2650280","Mackinac Island city","Michigan",583,"MI","CITY OF MACKINAC ISLAND","MACKINAC ISLAND","MACKINAC"
"4690","Maury","43201700500000","General Purpose",802348,0,113691,36195,142011,500000,0,16545,0,0,10451,1056286,25410,264112,278840,368761,1255887,0,0,0,1624648,FALSE,"1600000US4746540","Maury City town","Tennessee",583,"TN","TOWN OF MAURY CITY","MAURY CITY","CROCKETT"
"4691","Willisville","14207300600000","General Purpose",217180,0,0,0,217180,0,0,0,0,0,0,189047,75217,154556,218904,144631,493093,0,0,0,637724,FALSE,"1600000US1781867","Willisville village","Illinois",579,"IL","VILLAGE OF WILLISVILLE","WILLISVILLE","PERRY"
"4692","Boswell","37201200100000","General Purpose",678252,617000,53585,0,0,7668,0,0,0,0,0,470566,44442,108995,294833,126337,792499,0,0,0,918836,FALSE,"1600000US4007750","Boswell town","Oklahoma",579,"OK","TOWN OF BOSWELL","BOSWELL","CHOCTAW"
"4693","Rose","23206500200000","General Purpose",165840,0,21577,0,0,0,144263,0,0,0,0,338797,119951,91300,370304,80824,839528,0,0,0,920352,FALSE,"1600000US2669680","Rose City city","Michigan",577,"MI","CITY OF ROSE CITY","ROSE CITY","OGEMAW"
"4694","McIntyre","11215800600000","General Purpose",36966,0,36966,0,0,0,0,0,0,0,0,177770,21401,45919,899493,13857,1130726,0,0,0,1144583,FALSE,"1600000US1348848","McIntyre town","Georgia",575,"GA","TOWN OF MCINTYRE","MC INTYRE","WILKINSON"
"4695","Williamsfield","14204801200000","General Purpose",216241,84501,21172,0,0,110568,0,0,0,0,0,289390,0,431114,246838,513212,454130,0,0,0,967342,FALSE,"1600000US1781802","Williamsfield village","Illinois",575,"IL","VILLAGE OF WILLIAMSFIELD","WILLIAMSFIELD","KNOX"
"4696","Maple Rapids","23201900500000","General Purpose",227657,160000,27255,40402,0,0,0,0,0,0,0,265916,89505,0,210442,66671,499192,0,0,0,565863,FALSE,"1600000US2651200","Maple Rapids village","Michigan",573,"MI","VILLAGE OF MAPLE RAPIDS","MAPLE RAPIDS","CLINTON"
"4697","Huntsville","45202900100000","General Purpose",889325,778000,0,0,0,0,0,0,0,0,0,488223,117792,409227,208253,332212,891283,0,0,0,1223495,FALSE,"1600000US4937060","Huntsville town","Utah",573,"UT","CITY OF HUNTSVILLE","HUNTSVILLE","WEBER"
"4698","Moscow","43202400200000","General Purpose",402391,0,4772,0,393416,0,0,28301,0,0,0,512459,21228,0,563928,205300,892315,0,0,0,1097615,FALSE,"1600000US4750300","Moscow city","Tennessee",572,"TN","CITY OF MOSCOW","MOSCOW","FAYETTE"
"4699","Vermont","14202902000000","General Purpose",466404,324000,60639,0,0,81763,0,0,0,0,0,253485,0,21987,299595,-106610,681677,0,0,0,575067,FALSE,"1600000US1777642","Vermont village","Illinois",570,"IL","VILLAGE OF VERMONT","VERMONT","FULTON"
"4700","Brooks","11205650100000","General Purpose",43210,0,43210,0,0,0,0,0,0,0,0,64807,631,147475,243705,73124,383494,0,0,0,456618,FALSE,"1600000US1311056","Brooks town","Georgia",568,"GA","TOWN OF BROOKS","BROOKS","FAYETTE"
"4701","St. Francisville","14205100500000","General Purpose",663934,0,31911,0,0,632023,0,0,0,0,0,615819,25196,223817,176860,343183,698509,0,0,0,1041692,FALSE,"1600000US1766833","St. Francisville city","Illinois",568,"IL","CITY OF ST FRANCISVILLE","SAINT FRANCISVILLE","LAWRENCE"
"4702","Murrayville","14206900700000","General Purpose",135769,0,22926,4997,107157,0,0,0,0,0,689,130994,21220,0,218608,55876,314946,0,0,0,370822,FALSE,"1600000US1751479","Murrayville village","Illinois",567,"IL","VILLAGE OF MURRAYVILLE","MURRAYVILLE","MORGAN"
"4703","Port Sanilac","23207601200000","General Purpose",3767077,2962206,111964,0,0,99108,560140,0,0,0,11100,610743,92601,36786,465795,111076,1094849,0,0,0,1205925,FALSE,"1600000US2665900","Port Sanilac village","Michigan",567,"MI","VILLAGE OF PORT SANILAC","PORT SANILAC","SANILAC"
"4704","Metamora","36202600500000","General Purpose",0,708699,0,0,7105,0,0,0,0,0,0,0,0,0,606073,272613,333460,0,0,0,606073,FALSE,"1600000US3949238","Metamora village","Ohio",566,"OH","VILLAGE OF METAMORA","METAMORA","FULTON"
"4705","Pittsburg","14210001300000","General Purpose",1188614,1044000,53803,0,0,0,74206,0,0,0,16605,890970,0,0,273426,-19890,1184286,0,0,0,1164396,FALSE,"1600000US1760209","Pittsburg village","Illinois",565,"IL","VILLAGE OF PITTSBURG","PITTSBURG","WILLIAMSON"
"4706","New Lothrop","23207800700000","General Purpose",1504469,1330000,156379,0,18090,0,0,0,0,0,0,278751,0,500,321075,67021,533305,0,0,0,600326,FALSE,"1600000US2657520","New Lothrop village","Michigan",565,"MI","VILLAGE OF NEW LOTHROP","NEW LOTHROP","SHIAWASSEE"
"4707","Damiansville","14201460100000","General Purpose",4900,0,4900,0,0,0,0,0,0,0,0,164145,0,0,168335,60979,271501,0,0,0,332480,FALSE,"1600000US1718472","Damiansville village","Illinois",564,"IL","VILLAGE OF DAMIANSVILLE","DAMIANSVILLE","CLINTON"
"4708","Schram","14206801400000","General Purpose",29863,0,0,0,10963,0,0,0,0,0,0,245228,0,277600,243669,223271,543226,0,0,0,766497,FALSE,"1600000US1768120","Schram City village","Illinois",563,"IL","VILLAGE OF SCHRAM CITY","HILLSBORO","MONTGOMERY"
"4709","Callaway","28202100600000","General Purpose",93258,0,81720,0,0,0,775,0,0,0,10763,1046498,3817,0,340235,257847,1132703,0,0,0,1390550,FALSE,"1600000US3107660","Callaway village","Nebraska",563,"NE","VILLAGE OF CALLAWAY","CALLAWAY","CUSTER"
"4710","Howells","28201900200000","General Purpose",0,1385000,0,0,115735,0,0,0,0,0,0,319513,122494,1492,1437017,965825,914691,0,0,0,1880516,FALSE,"1600000US3123340","Howells village","Nebraska",561,"NE","VILLAGE OF HOWELLS","HOWELLS","COLFAX"
"4711","Porter","37207300300000","General Purpose",115426,0,38125,17114,0,60187,0,0,0,0,0,597937,12873,20000,268919,104716,795013,0,0,0,899729,FALSE,"1600000US4060150","Porter town","Oklahoma",561,"OK","TOWN OF PORTER","PORTER","WAGONER"
"4712","Myton","45200700300000","General Purpose",761990,676945,53602,0,0,0,31443,0,0,0,0,394894,79088,0,356935,-69401,900319,0,0,0,830918,FALSE,"1600000US4953340","Myton city","Utah",561,"UT","CITY OF MYTON","MYTON","DUCHESNE"
"4713","New Market","15205400600000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"1600000US1853262","New Market town","Indiana",559,"IN","TOWN OF NEW MARKET","NEW MARKET","MONTGOMERY"
"4714","Mayfield","45202000800000","General Purpose",1026749,836000,171969,0,0,0,17520,0,0,0,1260,217547,43047,685412,108341,586571,467776,0,0,0,1054347,FALSE,"1600000US4948720","Mayfield town","Utah",556,"UT","TOWN OF MAYFIELD","MAYFIELD","SANPETE"
"4715","Dana","15208300300000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,794804,86008,708796,0,0,0,794804,FALSE,"1600000US1816732","Dana town","Indiana",555,"IN","TOWN OF DANA","DANA","VERMILLION"
"4716","Clayton","37206400300000","General Purpose",2722912,0,67937,0,0,2654975,0,0,0,0,0,366049,89800,0,579977,121225,914601,0,0,0,1035826,FALSE,"1600000US4014900","Clayton town","Oklahoma",555,"OK","TOWN OF CLAYTON","CLAYTON","PUSHMATAHA"
"4717","Allardt","43202570100000","General Purpose",83688,0,83688,0,0,0,0,0,0,0,0,702347,47350,0,144810,102038,792469,0,0,0,894507,FALSE,"1600000US4700660","Allardt city","Tennessee",555,"TN","CITY OF ALLARDT","ALLARDT","FENTRESS"
"4718","Valier","14202801100000","General Purpose",393594,266000,21132,0,106462,0,0,0,0,0,0,311328,24687,0,193948,-9558,539521,0,0,0,529963,FALSE,"1600000US1777148","Valier village","Illinois",554,"IL","VILLAGE OF VALIER","VALIER","FRANKLIN"
"4719","Verdigre","28205400800000","General Purpose",4779,1847978,4779,0,0,251013,0,0,0,0,0,394955,254249,120231,537161,204685,1101911,0,0,0,1306596,FALSE,"1600000US3150370","Verdigre village","Nebraska",554,"NE","VILLAGE OF VERDIGRE","VERDIGRE","KNOX"
"4720","Velma","37206980200000","General Purpose",116367,0,0,116367,0,0,0,0,0,0,0,198346,0,0,650492,52311,796527,18446068,0,0,18446068,FALSE,"1600000US4076900","Velma town","Oklahoma",554,"OK","TOWN OF VELMA","VELMA","STEPHENS"
"4721","Augusta","14203400100000","General Purpose",21448,0,21448,0,0,0,0,10445,0,0,0,248711,21220,0,186209,22948,433192,170112,0,0,456140,FALSE,"1600000US1702986","Augusta village","Illinois",553,"IL","VILLAGE OF AUGUSTA","AUGUSTA","HANCOCK"
"4722","Ava","14203900100000","General Purpose",492596,0,80230,0,340988,66506,0,0,0,0,4872,282000,0,324411,447352,449042,604721,0,0,21799,1053763,FALSE,"1600000US1703103","Ava city","Illinois",553,"IL","CITY OF AVA","AVA","JACKSON"
"4723","Florien","19204350100000","General Purpose",189796,0,55031,0,0,35928,98837,0,0,0,0,474182,26566,354334,425670,344697,936055,0,0,0,1280752,FALSE,"1600000US2225860","Florien village","Louisiana",553,"LA","VILLAGE OF FLORIEN","FLORIEN","SABINE"
"4724","Crescent City","14203800700000","General Purpose",142618,0,40211,0,0,0,0,0,0,0,0,125086,0,0,232826,47318,310594,0,0,0,357912,FALSE,"1600000US1717406","Crescent City village","Illinois",552,"IL","VILLAGE OF CRESCENT CITY","CRESCENT CITY","IROQUOIS"
"4725","Eau Claire","23201100700000","General Purpose",1129697,702000,11542,0,0,0,324482,0,0,0,6459,270158,281791,0,295004,21616,825337,0,0,0,846953,FALSE,"1600000US2624580","Eau Claire village","Michigan",552,"MI","VILLAGE OF EAU CLAIRE","EAU CLAIRE","BERRIEN"
"4726","Union","14205601700000","General Purpose",7006,0,7006,0,0,0,0,0,0,0,0,244729,20967,0,443852,-275785,985333,152191,150,0,709548,FALSE,"1600000US1776706","Union village","Illinois",551,"IL","VILLAGE OF UNION","UNION","MCHENRY"
"4727","Benzonia (Benzie County)","23201000100000","General Purpose",865532,813794,28647,0,0,20832,0,0,0,0,2259,237836,289794,0,353279,376133,504776,0,0,0,880909,FALSE,"1600000US2607580","Benzonia village","Michigan",551,"MI","VILLAGE OF BENZONIA","BENZONIA","BENZIE"
"4728","Palmer","43203100200000","General Purpose",24199,20656,3543,0,0,0,0,0,0,0,0,2799,38962,0,105287,-3190,150238,0,0,0,147048,FALSE,"1600000US4756560","Palmer town","Tennessee",551,"TN","CITY OF PALMER","PALMER","GRUNDY"
"4729","Keithsburg","14206600300000","General Purpose",17196,0,1746,0,15450,0,0,0,0,0,0,218667,195886,1372860,273868,1422107,639174,0,0,0,2061281,FALSE,"1600000US1739298","Keithsburg city","Illinois",550,"IL","CITY OF KEITHSBURG","KEITHSBURG","MERCER"
"4730","Townsend","43200500400000","General Purpose",503005,434000,21181,0,0,0,0,22097,0,0,13824,121244,16000,8591,826743,88694,883884,0,0,0,972578,FALSE,"1600000US4774860","Townsend city","Tennessee",550,"TN","CITY OF TOWNSEND","TOWNSEND","BLOUNT"
"4731","Wauneta","28201500300000","General Purpose",2229624,1695000,220245,0,0,314379,0,0,0,0,0,1018249,2761,963657,193325,939756,1238236,801929,1549,0,2177992,FALSE,"1600000US3151700","Wauneta village","Nebraska",549,"NE","VILLAGE OF WAUNETA","WAUNETA","CHASE"
"4732","Carlock","14205750100000","General Purpose",985746,0,19757,0,0,965989,0,0,0,0,0,184513,0,0,287122,31552,440083,0,0,0,471635,FALSE,"1600000US1711215","Carlock village","Illinois",548,"IL","VILLAGE OF CARLOCK","CARLOCK","MCLEAN"
"4733","Grosse Tete","19202400100000","General Purpose",831903,0,86593,0,0,0,745310,0,0,0,0,182237,0,103404,1132375,-8982,1426998,0,0,0,1418016,FALSE,"1600000US2232020","Grosse Tete village","Louisiana",548,"LA","VILLAGE OF GROSSE TETE","GROSSE TETE","IBERVILLE"
"4734","Mt. Vernon","38201200600000","General Purpose",756789,668964,15051,0,0,0,0,0,0,0,14457,325033,6501,1461814,208118,1389160,612306,0,0,0,2001466,FALSE,"1600000US4150250","Mount Vernon city","Oregon",548,"OR","CITY OF MOUNT VERNON","MOUNT VERNON","GRANT"
"4735","Evansville","14207900500000","General Purpose",299746,0,0,0,273728,0,0,0,0,0,0,260257,9639,0,304508,65133,509271,0,0,0,574404,FALSE,"1600000US1724608","Evansville village","Illinois",547,"IL","VILLAGE OF EVANSVILLE","EVANSVILLE","RANDOLPH"
"4736","Trimble","43202300300000","General Purpose",630154,86400,47256,0,0,496498,0,0,0,0,0,313499,30505,0,189081,-37669,570754,0,0,0,533085,FALSE,"1600000US4775160","Trimble town","Tennessee",547,"TN","TOWN OF TRIMBLE","TRIMBLE","DYER"
"4737","Oakwood","36206300800000","General Purpose",0,1820000,0,0,725729,0,0,0,0,0,0,163448,374600,0,353385,22204,869229,0,0,0,891433,FALSE,"1600000US3957792","Oakwood village (Paulding County)","Ohio",546,"OH","VILLAGE OF OAKWOOD","OAKWOOD","PAULDING"
"4738","Byron","23207800200000","General Purpose",350809,0,26339,0,0,0,0,0,0,0,0,315165,90891,0,178807,130026,454837,0,0,0,584863,FALSE,"1600000US2612260","Byron village","Michigan",545,"MI","VILLAGE OF BYRON","BYRON","SHIAWASSEE"
"4739","Carney","37204100200000","General Purpose",145838,0,32151,16230,0,97457,0,0,0,0,0,382969,711,78852,296291,175064,583759,0,0,0,758823,FALSE,"1600000US4012100","Carney town","Oklahoma",545,"OK","TOWN OF CARNEY","CARNEY","LINCOLN"
"4740","Elkton","43202800200000","General Purpose",35347,0,15410,0,0,0,19937,0,0,0,0,136603,25859,28250,216366,44967,362111,0,0,0,407078,FALSE,"1600000US4723660","Elkton city","Tennessee",545,"TN","CITY OF ELKTON","ELKTON","GILES"
"4741","Tamaroa","14207300500000","General Purpose",1952206,1689000,191394,0,29619,0,42193,0,0,0,0,546820,0,0,299926,59073,787673,0,0,0,846746,FALSE,"1600000US1774444","Tamaroa village","Illinois",544,"IL","VILLAGE OF TAMAROA","TAMAROA","PERRY"
"4742","Liberty","14200150100000","General Purpose",27129,0,27129,0,0,0,57322,0,0,0,0,157137,0,0,161338,85622,232853,0,0,0,318475,FALSE,"1600000US1743133","Liberty village","Illinois",543,"IL","TOWN OF LIBERTY","LIBERTY","ADAMS"
"4743","Cygnet","36208700600000","General Purpose",0,0,0,0,0,0,0,0,0,0,0,18008,112124,0,140204,54939,215397,0,0,0,270336,FALSE,"1600000US3919820","Cygnet village","Ohio",543,"OH","VILLAGE OF CYGNET","CYGNET","WOOD"
