acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Beach Park Community Consolidated School District No.3,NA,50096,2020,School District,22127882,21942680,0,186396,0,0,2116722,0,0,0,0,198788,15500473,0,30609162,5764510,40543913,0,0,0,46308423,FALSE,beach park ccsd 3,0.4778370880822264, Below 1%,Illinois,Beach Park CCSD 3,2093.00000
Beardstown Community Unit School District No. 15,NA,196559,2020,School District,1623525,1259620,78808,285097,0,0,966342,0,6078134,0,0,0,0,0,23775104,2980069,20795035,0,0,0,23775104,FALSE,beardstown cusd 15,0.06828676753632708, Below 1%,Illinois,Beardstown CUSD 15,1527.00000
Belle Valley School District No. 119,NA,33117,2020,School District,32912487,32890000,0,22487,0,0,864176,0,0,0,0,0,0,0,15857785,-698243,16556028,0,0,0,15857785,FALSE,belle valley sd 119,2.075478195725317,1 - 5%,Illinois,Belle Valley SD 119,1053.00000
Belleville Public Schools District 118,NA,45609,2020,School District,28758358,0,753822,0,0,0,3943068,0,0,0,0,2024724,8193053,0,35515774,-3064893,48798444,0,0,0,45733551,FALSE,belleville sd 118,0.6288240770982336, Below 1%,Illinois,Belleville SD 118,3669.00000
Belleville Township High School District No. 201,NA,224063,2020,School District,63871620,0,5532249,0,0,3000000,0,0,0,0,0,5441232,9703069,0,49071078,-3623371,67838750,0,0,0,64215379,FALSE,belleville twp hsd 201,0.9946467807968555, Below 1%,Illinois,Belleville Twp HSD 201,4677.00000
Bellwood School District 88,NA,169381,2020,School District,30300521,28593098,0,1707423,0,0,1334768,375508,18772243,0,0,115696,13128566,0,34149985,4132767,43261480,0,0,0,47394247,FALSE,bellwood sd 88,0.6393290940986993, Below 1%,Illinois,Bellwood SD 88,2392.00000
Belvidere Community Unit School District No. 100,NA,32882,2020,School District,66383237,66248326,134911,0,0,0,0,0,0,0,0,0,0,0,152249942,359557,151890385,0,0,0,152249942,FALSE,belvidere cusd 100,0.43601485904014337, Below 1%,Illinois,Belvidere CUSD 100,7685.00000
Berkeley School District 87,NA,32899,2020,School District,29332826,6596614,2906888,293809,0,0,2788443,0,16582101,0,164971,108412,19294840,50000,38363766,4726472,53090546,0,0,0,57817018,FALSE,berkeley sd 87,0.5073389637632297, Below 1%,Illinois,Berkeley SD 87,2505.00000
Berwyn South School District 100,NA,32900,2020,School District,63510348,30066742,3449109,0,0,0,4135327,0,25451849,0,407321,229854,25307462,0,46589547,7138326,64988537,0,0,0,72126863,FALSE,berwyn south sd 100,0.8805366732780268, Below 1%,Illinois,Berwyn South SD 100,3520.00000
Bethalto Community Unit School District No.8,NA,33077,2020,School District,70777642,14602700,444057,7018,0,0,4988423,0,0,0,0,0,0,0,46537212,4804074,41733138,0,0,0,46537212,FALSE,bethalto cusd 8,1.5208827292876934,1 - 5%,Illinois,Bethalto CUSD 8,2422.00000
Big Hollow School District 38,NA,167424,2020,School District,11389007,10903407,0,0,485600,0,0,0,0,0,0,0,0,0,32333771,1520564,30813207,0,0,0,32333771,FALSE,big hollow sd 38,0.3522325620478972, Below 1%,Illinois,Big Hollow SD 38,1787.00000
Bloom Township High School District 206,NA,224664,2020,School District,30041919,30000000,0,41919,0,0,2905375,0,21438878,0,0,0,0,0,75505341,-4063399,79568740,0,0,0,75505341,FALSE,bloom twp hsd 206,0.3978780653410995, Below 1%,Illinois,Bloom Twp HSD 206,2788.00000
Bloomington Public Schools District No. 87,NA,33066,2020,School District,63707531,45755000,17952531,0,0,0,0,0,0,0,0,0,0,0,93767919,-559747,94327666,0,0,0,93767919,FALSE,bloomington sd 87,0.6794171362595772, Below 1%,Illinois,Bloomington SD 87,5208.00000
