ncesid,nces_original_name,county_nces,city_nces,state,student
3631320,WHITESBORO CENTRAL SCHOOL DISTRICT,Oneida County,WHITESBORO,NY,3245.00000
4845630,WHITESBORO ISD,Grayson County,WHITESBORO,TX,1619.00000
1742300,Whiteside SD 115,St. Clair County,Belleville,IL,1285.00000
3631350,WHITESVILLE CENTRAL SCHOOL DISTRICT,Allegany County,WHITESVILLE,NY,193.00000
3704920,Whiteville City Schools,Columbus County,Whiteville,NC,2257.00000
3027930,Whitewater K-12 Schools,Phillips County,Whitewater,MT,43.00000
5516680,Whitewater Unified School District,Walworth County,Whitewater,WI,1997.00000
4845670,WHITEWRIGHT ISD,Grayson County,WHITEWRIGHT,TX,832.00000
1305700,Whitfield County,Whitfield County,Dalton,GA,12873.00000
4845690,WHITHARRAL ISD,Hockley County,WHITHARRAL,TX,180.00000
1931620,Whiting Comm School District,Monona County,Whiting,IA,198.00000
2300068,Whiting Public Schools,Washington County,Machias,ME,50.00000
1813230,Whitko Community School Corp,Whitley County,Larwill,IN,1314.00000
2105880,Whitley County,Whitley County,Williamsburg,KY,4373.00000
1802280,Whitley County Con Schools,Whitley County,Columbia City,IN,3654.00000
2512930,Whitman-Hanson,Plymouth County,Whitman,MA,3759.00000
2636330,Whitmore Lake Public School District,Washtenaw County,WHITMORE LAKE,MI,694.00000
0642420,Whitmore Union Elementary,Shasta County,Whitmore,CA,44.00000
5506000,Whitnall School District,Milwaukee County,Greenfield,WI,2465.00000
4845720,WHITNEY ISD,Hill County,WHITNEY,TX,1501.00000
3631380,WHITNEY POINT CENTRAL SCHOOL DISTRICT,Broome County,WHITNEY POINT,NY,1439.00000
2313710,Whitneyville Public Schools,Washington County,Machias,ME,3.00000
2636390,Whittemore-Prescott Area Schools,Iosco County,Whittemore,MI,727.00000
0642450,Whittier City Elementary,Los Angeles County,Whittier,CA,6022.00000
2512950,Whittier Regional Vocational Technical,Essex County,Haverhill,MA,1254.00000
0642480,Whittier Union High,Los Angeles County,Whittier,CA,11221.00000
3028020,Wibaux K-12 Schools,Wibaux County,Wibaux,MT,164.00000
2012990,Wichita,Sedgwick County,Wichita,KS,49323.00000
4845780,WICHITA FALLS ISD,Wichita County,WICHITA FALLS,TX,14091.00000
0409190,Wickenburg Unified District (4236),Maricopa County,WICKENBURG,AZ,1415.00000
4032760,WICKLIFFE,Mayes County,Salina,OK,61.00000
3904508,Wickliffe City,Lake County,Wickliffe,OH,1360.00000
2400690,Wicomico County Public Schools,Wicomico County,Salisbury,MD,15203.00000
5900062,Wide Ruins Community School,Apache County,Chambers,AZ,88.00000
3178720,WILBER-CLATONIA PUBLIC SCHOOLS,Saline County,WILBER,NE,628.00000
5309840,Wilbur School District,Lincoln County,WILBUR,WA,232.00000
4032790,WILBURTON,Latimer County,Wilburton,OK,860.00000
0103510,Wilcox County,Wilcox County,Camden,AL,1490.00000
1305730,Wilcox County,Wilcox County,Abbeville,GA,1217.00000
3100134,WILCOX-HILDRETH PUBLIC SCHOOLS,Kearney County,WILCOX,NE,213.00000
5516710,Wild Rose School District,Waushara County,Wild Rose,WI,588.00000
1603480,WILDER DISTRICT,Canyon County,WILDER,ID,516.00000
4845840,WILDORADO ISD,Oldham County,WILDORADO,TX,183.00000
3417940,Wildwood City School District,Cape May County,WILDWOOD,NJ,938.00000
3417970,Wildwood Crest Borough School District,Cape May County,WILDWOOD CREST,NJ,275.00000
0807320,Wiley School District No. Re-13 Jt,Prowers County,WILEY,CO,238.00000
1305760,Wilkes County,Wilkes County,WASHINGTON,GA,1430.00000
3704950,Wilkes County Schools,Wilkes County,North Wilkesboro,NC,9355.00000
4226300,Wilkes-Barre Area SD,Luzerne County,Wilkes Barre,PA,7310.00000
4226370,Wilkinsburg Borough SD,Allegheny County,Wilkinsburg,PA,515.00000
2804710,WILKINSON CO SCHOOL DIST,Wilkinson County,Woodville,MS,1083.00000
1305790,Wilkinson County,Wilkinson County,Irwinton,GA,1235.00000
1723730,Will County SD 92,Will County,Lockport,IL,1480.00000
1700213,Will ROE,Will County,Joliet,IL,86.00000
4113350,Willamina SD 30J,Yamhill County,Willamina,OR,872.00000
5309870,Willapa Valley School District,Pacific County,MENLO,WA,399.00000
3904509,Willard City,Huron County,Willard,OH,1449.00000
2932010,WILLARD R-II,Greene County,WILLARD,MO,4613.00000
0409250,Willcox Unified District (4170),Cochise County,WILLCOX,AZ,1064.00000
3618690,WILLIAM FLOYD UNION FREE SCHOOL DISTRICT,Suffolk County,MASTIC BEACH,NY,9028.00000
4226390,William Penn SD,Delaware County,Lansdowne,PA,4916.00000
0642510,William S. Hart Union High,Los Angeles County,Santa Clarita,CA,22228.00000
5516740,Williams Bay School District,Walworth County,Williams Bay,WI,726.00000
3813760,WILLIAMS COUNTY 8,Williams County,Williston,ND,814.00000
0642540,Williams Unified,Colusa County,Williams,CA,1375.00000
0409310,Williams Unified District (4193),Coconino County,WILLIAMS,AZ,696.00000
4226400,Williams Valley SD,Dauphin County,Tower City,PA,1001.00000
2512990,Williamsburg,Hampshire County,Westhampton,MA,137.00000
4503780,Williamsburg 01,Williamsburg County,Kingstree,SC,3363.00000
1931680,Williamsburg Comm School District,Iowa County,Williamsburg,IA,1238.00000
4226430,Williamsburg Community SD,Blair County,Williamsburg,PA,473.00000
